timestamp,host,cpu_util,throughput_rps,power_watts,efficiency_score
1773178476.7334447,h3,3.12,0.00,5.19,0.1927
1773178477.2346249,h3,3.18,0.00,5.19,0.1927
1773178477.7356975,h3,3.12,0.00,5.19,0.1927
1773178478.2367582,h3,3.06,0.00,5.19,0.1927
1773178478.737849,h3,3.18,0.00,5.85,0.1709
1773178479.2389483,h3,3.18,0.00,5.19,0.1927
1773178479.7400143,h3,3.12,0.00,5.19,0.1927
1773178480.2410843,h3,3.12,0.00,5.19,0.1927
1773178480.7421286,h3,3.18,0.00,5.19,0.1927
1773178481.2431912,h3,3.18,0.00,5.19,0.1927
1773178481.7442563,h3,3.12,0.00,5.19,0.1927
1773178482.2453547,h3,3.18,0.00,4.53,0.2209
1773178482.7464204,h3,3.18,0.00,5.19,0.1927
1773178483.2474713,h3,3.12,0.00,5.19,0.1927
1773178483.748529,h3,3.19,0.00,4.53,0.2209
1773178484.2495797,h3,3.12,0.00,5.19,0.1926
1773178484.7506351,h3,3.24,0.00,4.53,0.2209
1773178485.251692,h3,3.06,0.00,4.53,0.2209
1773178485.7527483,h3,3.18,0.00,5.19,0.1927
1773178486.253799,h3,3.12,0.00,5.19,0.1927
1773178486.7548664,h3,3.18,0.00,5.19,0.1927
1773178487.255875,h3,3.12,0.00,4.53,0.2209
1773178487.756935,h3,3.12,0.00,4.53,0.2209
1773178488.2580154,h3,3.18,0.00,5.19,0.1927
1773178488.7590876,h3,3.12,0.00,5.19,0.1927
1773178489.2601464,h3,3.12,0.00,5.19,0.1927
1773178489.7612274,h3,3.12,0.00,5.19,0.1927
1773178490.262294,h3,3.18,0.00,5.19,0.1927
1773178490.7633445,h3,3.12,0.00,5.19,0.1927
1773178491.2643976,h3,3.12,0.00,5.19,0.1927
1773178491.76546,h3,3.18,0.00,4.53,0.2209
1773178492.2665753,h3,3.18,0.00,5.19,0.1927
1773178492.7676325,h3,3.12,0.00,5.19,0.1927
1773178493.268697,h3,3.18,0.00,4.53,0.2209
1773178493.7697465,h3,3.12,0.00,5.19,0.1927
1773178494.2708127,h3,3.12,0.00,4.53,0.2209
1773178494.771863,h3,3.12,0.00,5.19,0.1927
1773178495.2729125,h3,3.24,0.00,5.19,0.1927
1773178495.7739456,h3,3.18,0.00,4.53,0.2209
1773178496.2749937,h3,3.12,0.00,5.19,0.1927
1773178496.7760313,h3,3.12,0.00,5.19,0.1927
1773178497.2770844,h3,3.18,0.00,5.19,0.1926
1773178497.778138,h3,3.12,0.00,5.19,0.1927
1773178498.27918,h3,3.18,0.00,5.19,0.1927
1773178498.78025,h3,3.18,0.00,5.19,0.1927
1773178499.2813253,h3,3.12,0.00,5.19,0.1927
1773178499.7823756,h3,3.12,0.00,5.19,0.1927
1773178500.283427,h3,3.18,0.00,4.53,0.2209
1773178500.7844682,h3,3.12,0.00,5.19,0.1927
1773178501.2854936,h3,3.06,0.00,4.53,0.2209
1773178501.7865775,h3,3.24,0.00,5.19,0.1927
1773178502.2876754,h3,3.12,0.00,5.19,0.1927
1773178502.7887332,h3,3.12,0.00,4.53,0.2209
1773178503.2897902,h3,3.12,0.00,5.19,0.1927
1773178503.7908735,h3,3.24,0.00,5.19,0.1927
1773178504.2919593,h3,3.06,0.00,5.19,0.1926
1773178504.7930171,h3,3.18,0.00,5.19,0.1927
1773178505.294084,h3,3.12,0.00,5.19,0.1927
1773178505.7951703,h3,3.18,0.00,5.64,0.1773
1773178506.296239,h3,3.12,0.00,5.19,0.1927
1773178506.7972884,h3,3.18,0.00,4.53,0.2209
1773178507.2983441,h3,3.18,0.00,5.19,0.1926
1773178507.7993906,h3,3.18,0.00,5.19,0.1927
1773178508.3004425,h3,3.12,0.00,5.64,0.1773
1773178508.8014894,h3,3.12,0.00,5.19,0.1926
1773178509.3025508,h3,3.18,0.00,5.19,0.1926
1773178509.8036103,h3,3.12,0.00,5.19,0.1927
1773178510.3046281,h3,3.12,0.00,5.64,0.1773
1773178510.8056855,h3,3.18,0.00,4.98,0.2009
1773178511.3067486,h3,3.12,0.00,5.19,0.1927
1773178511.8077965,h3,3.18,0.00,4.53,0.2209
1773178512.3088953,h3,3.12,0.00,5.19,0.1927
1773178512.8099415,h3,3.18,0.00,5.19,0.1926
1773178513.3110044,h3,3.12,0.00,4.53,0.2209
1773178513.8120568,h3,3.18,0.00,5.19,0.1926
1773178514.3131163,h3,3.06,0.00,5.19,0.1927
1773178514.8141844,h3,3.18,0.00,5.19,0.1927
1773178515.3152502,h3,3.12,0.00,5.19,0.1926
1773178515.8163154,h3,3.12,0.00,4.53,0.2209
1773178516.3173907,h3,3.18,0.00,4.53,0.2209
1773178516.8184714,h3,3.18,0.00,4.53,0.2209
1773178517.319522,h3,3.12,0.00,4.53,0.2209
1773178517.8205872,h3,2.75,0.00,4.53,0.2209
1773178518.3216388,h3,0.00,0.00,4.53,0.2209
1773178518.8228235,h3,0.00,0.00,4.53,0.2209
1773178519.323946,h3,0.00,0.00,4.53,0.2209
1773178519.8251538,h3,0.06,0.00,4.53,0.2209
1773178520.3262353,h3,0.00,0.00,4.53,0.2209
1773178520.8273935,h3,0.00,0.00,4.53,0.2209
1773178521.3285992,h3,0.06,0.00,4.53,0.2209
1773178521.8296938,h3,0.00,0.00,4.53,0.2209
1773178522.3309639,h3,0.06,0.00,4.53,0.2209
1773178522.8320487,h3,0.00,0.00,4.53,0.2209
1773178523.333253,h3,0.00,0.00,4.53,0.2209
1773178523.8344533,h3,0.00,0.00,4.53,0.2209
1773178524.3355455,h3,0.00,0.00,4.53,0.2209
1773178524.8367398,h3,0.00,0.00,4.53,0.2209
1773178525.3378456,h3,0.00,0.00,4.53,0.2209
1773178525.8390532,h3,0.06,0.00,4.53,0.2209
1773178526.340154,h3,0.00,0.00,4.53,0.2209
1773178526.841357,h3,0.00,0.00,4.53,0.2209
1773178527.3425632,h3,0.06,0.00,4.53,0.2209
1773178527.8436568,h3,0.00,0.00,4.53,0.2209
1773178528.3448613,h3,0.00,0.00,4.53,0.2209
1773178528.8459427,h3,0.00,0.00,4.53,0.2209
1773178529.3470676,h3,0.00,0.00,4.53,0.2209
1773178529.8481624,h3,0.00,0.00,4.53,0.2209
1773178530.3493726,h3,0.00,0.00,4.53,0.2209
1773178530.8505416,h3,0.06,0.00,4.53,0.2209
1773178531.3516035,h3,0.00,0.00,4.53,0.2209
1773178531.8527756,h3,0.00,0.00,4.53,0.2209
1773178532.3539104,h3,0.06,0.00,4.53,0.2209
1773178532.855116,h3,0.06,0.00,4.53,0.2209
1773178533.3561797,h3,0.06,0.00,4.53,0.2209
1773178533.857376,h3,0.00,0.00,4.53,0.2209
1773178534.3585618,h3,0.06,0.00,4.53,0.2209
1773178534.8596482,h3,0.00,0.00,4.53,0.2209
1773178535.3608525,h3,0.00,0.00,4.53,0.2209
1773178535.8619363,h3,0.00,0.00,4.53,0.2209
1773178536.3631501,h3,0.00,0.00,4.53,0.2209
1773178536.8642516,h3,0.00,0.00,4.53,0.2209
1773178537.3653924,h3,0.00,0.00,4.53,0.2209
1773178537.8665943,h3,0.00,0.00,4.53,0.2209
1773178538.367682,h3,0.00,0.00,4.53,0.2209
1773178538.8688812,h3,0.00,0.00,4.53,0.2209
1773178539.369985,h3,0.00,0.00,4.53,0.2209
1773178539.871067,h3,0.00,0.00,4.53,0.2209
1773178540.3721604,h3,0.00,0.00,4.53,0.2209
1773178540.8733563,h3,0.00,0.00,4.53,0.2209
1773178541.3745642,h3,0.06,0.00,4.53,0.2209
1773178541.875638,h3,0.00,0.00,4.53,0.2209
1773178542.3768916,h3,0.00,0.00,4.53,0.2209
1773178542.8779747,h3,0.00,0.00,4.53,0.2209
1773178543.37918,h3,0.00,0.00,4.53,0.2209
1773178543.8802676,h3,0.06,0.00,4.53,0.2209
1773178544.3813927,h3,0.00,0.00,4.53,0.2209
1773178544.8825846,h3,0.06,0.00,4.53,0.2209
1773178545.3836877,h3,0.00,0.00,4.53,0.2209
1773178545.884897,h3,0.00,0.00,4.53,0.2209
1773178546.3859892,h3,0.00,0.00,4.53,0.2209
1773178546.8871882,h3,0.00,0.00,4.53,0.2209
1773178547.3882532,h3,0.00,0.00,4.53,0.2209
1773178547.8893926,h3,0.00,0.00,4.53,0.2209
1773178548.390608,h3,0.06,0.00,4.53,0.2209
1773178548.8917105,h3,0.00,0.00,4.53,0.2209
1773178549.392928,h3,0.00,0.00,4.53,0.2209
1773178549.8940141,h3,0.00,0.00,4.53,0.2209
1773178550.3952231,h3,0.00,0.00,4.53,0.2209
1773178550.8963044,h3,0.00,0.00,4.53,0.2209
1773178551.3973947,h3,0.00,0.00,4.53,0.2209
1773178551.8985887,h3,0.00,0.00,4.53,0.2209
1773178552.3997076,h3,0.06,0.00,4.53,0.2209
1773178552.9008994,h3,0.00,0.00,4.53,0.2209
1773178553.4019797,h3,0.00,0.00,4.53,0.2209
1773178553.9031537,h3,0.00,0.00,4.53,0.2209
1773178554.4042473,h3,0.00,0.00,4.53,0.2209
1773178554.905394,h3,0.00,0.00,4.53,0.2209
1773178555.4066284,h3,0.00,0.00,4.53,0.2209
1773178555.9077084,h3,0.00,0.00,4.53,0.2209
1773178556.4089413,h3,0.00,0.00,4.53,0.2209
1773178556.910049,h3,0.00,0.00,4.53,0.2209
1773178557.4112594,h3,0.06,0.00,4.53,0.2209
1773178557.9123263,h3,0.00,0.00,4.98,0.2009
1773178558.4134214,h3,0.00,0.00,4.53,0.2209
1773178558.9146385,h3,0.00,0.00,4.53,0.2209
1773178559.415724,h3,0.06,0.00,4.53,0.2209
1773178559.9169216,h3,0.00,0.00,4.53,0.2209
1773178560.4180152,h3,0.00,0.00,4.53,0.2209
1773178560.919219,h3,0.00,0.00,4.53,0.2209
1773178561.420318,h3,0.06,0.00,4.53,0.2209
1773178561.9214,h3,0.06,0.00,4.53,0.2209
1773178562.422654,h3,0.06,0.00,4.53,0.2209
1773178562.9237337,h3,0.00,0.00,4.53,0.2209
1773178563.4249125,h3,0.00,0.00,4.53,0.2209
1773178563.9259725,h3,0.00,0.00,4.53,0.2209
1773178564.4271734,h3,0.00,0.00,4.53,0.2209
1773178564.9282677,h3,0.00,0.00,4.53,0.2209
1773178565.429393,h3,0.00,0.00,4.53,0.2209
1773178565.9306479,h3,0.00,0.00,4.53,0.2209
1773178566.4317465,h3,0.00,0.00,4.53,0.2209
1773178566.9329457,h3,0.00,0.00,4.53,0.2209
1773178567.434034,h3,0.00,0.00,4.98,0.2009
1773178567.9352472,h3,0.00,0.00,4.53,0.2209
1773178568.4364538,h3,0.00,0.00,4.53,0.2209
1773178568.9375253,h3,0.00,0.00,4.53,0.2209
1773178569.4387505,h3,0.00,0.00,4.53,0.2209
1773178569.939838,h3,0.00,0.00,4.53,0.2209
