timestamp,status,server_id,latency_ms,target_rate
1773178579.814576,OK,h2,28.491497039794922,100
1773178579.814629,OK,h2,48.68125915527344,100
1773178579.814641,OK,h2,38.61737251281738,100
1773178579.8146493,OK,h2,58.760643005371094,100
1773178579.82063,OK,h2,24.46889877319336,100
1773178579.8310547,OK,h2,24.831533432006836,100
1773178579.8381383,OK,h2,21.847963333129883,100
1773178579.8432581,OK,h2,16.902446746826172,100
1773178579.860568,OK,h2,24.137020111083984,100
1773178579.871327,OK,h2,24.832725524902344,100
1773178579.8776171,OK,h2,21.04926109313965,100
1773178579.8874757,OK,h2,20.84207534790039,100
1773178579.8977735,OK,h2,21.064043045043945,100
1773178579.9091907,OK,h2,22.417068481445312,100
1773178579.921526,OK,h2,24.677038192749023,100
1773178579.9336567,OK,h2,26.74412727355957,100
1773178579.9429393,OK,h2,25.958776473999023,100
1773178579.9529312,OK,h2,25.879621505737305,100
1773178579.9650397,OK,h2,27.914047241210938,100
1773178579.9718971,OK,h2,24.709463119506836,100
1773178579.9787476,OK,h2,11.4288330078125,100
1773178579.978785,OK,h2,21.532058715820312,100
1773178580.0038755,OK,h2,26.450395584106445,100
1773178580.0150373,OK,h2,27.50396728515625,100
1773178580.0205653,OK,h2,22.933483123779297,100
1773178580.036452,OK,h2,28.71084213256836,100
1773178580.0418944,OK,h2,24.05071258544922,100
1773178580.0521843,OK,h2,24.232149124145508,100
1773178580.0604732,OK,h2,12.307167053222656,100
1773178580.060781,OK,h2,22.724151611328125,100
1773178580.081863,OK,h2,13.487577438354492,100
1773178580.0846987,OK,h2,26.43108367919922,100
1773178580.106313,OK,h2,27.838468551635742,100
1773178580.118619,OK,h2,30.035018920898438,100
1773178580.1257496,OK,h2,16.95561408996582,100
1773178580.1266356,OK,h2,27.953147888183594,100
1773178580.1342516,OK,h2,15.356779098510742,100
1773178580.1438155,OK,h2,14.812707901000977,100
1773178580.163407,OK,h2,24.3074893951416,100
1773178580.1742659,OK,h2,25.06422996520996,100
1773178580.1792076,OK,h2,19.90222930908203,100
1773178580.1959124,OK,h2,26.503562927246094,100
1773178580.207309,OK,h2,27.791976928710938,100
1773178580.2149613,OK,h2,25.34627914428711,100
1773178580.2274737,OK,h2,27.748823165893555,100
1773178580.2383468,OK,h2,28.519153594970703,100
1773178580.2402236,OK,h2,20.28822898864746,100
1773178580.2595043,OK,h2,19.351959228515625,100
1773178580.2595417,OK,h2,29.505491256713867,100
1773178580.265847,OK,h2,15.585184097290039,100
1773178580.2861006,OK,h2,25.719881057739258,100
1773178580.2937233,OK,h2,23.241281509399414,100
1773178580.3100214,OK,h2,29.4339656829834,100
1773178580.319623,OK,h2,28.93209457397461,100
1773178580.326587,OK,h2,25.78902244567871,100
1773178580.329237,OK,h2,18.336057662963867,100
1773178580.35097,OK,h2,29.959440231323242,100
1773178580.352506,OK,h2,21.387338638305664,100
1773178580.353441,OK,h2,12.21776008605957,100
1773178580.3705509,OK,h2,19.225120544433594,100
1773178580.3905382,OK,h2,29.10327911376953,100
1773178580.3941095,OK,h2,12.46333122253418,100
1773178580.3959637,OK,h2,24.423599243164062,100
1773178580.401288,OK,h2,9.535789489746094,100
1773178580.4285178,OK,h2,26.656627655029297,100
1773178580.4356267,OK,h2,23.66781234741211,100
1773178580.4474368,OK,h2,25.37083625793457,100
1773178580.4568133,OK,h2,24.64461326599121,100
1773178580.46647,OK,h2,3.983020782470703,100
1773178580.4690535,OK,h2,26.77607536315918,100
1773178580.4816067,OK,h2,29.227256774902344,100
1773178580.4970388,OK,h2,24.45077896118164,100
1773178580.513429,OK,h2,30.728816986083984,100
1773178580.519624,OK,h2,26.824474334716797,100
1773178580.5266435,OK,h2,23.734569549560547,100
1773178580.5374076,OK,h2,24.399757385253906,100
1773178580.5504804,OK,h2,27.363061904907227,100
1773178580.5630689,OK,h2,29.850006103515625,100
1773178580.5710552,OK,h2,17.62676239013672,100
1773178580.5711448,OK,h2,27.81820297241211,100
1773178580.574041,OK,h2,10.505199432373047,100
1773178580.6042156,OK,h2,30.579328536987305,100
1773178580.6119351,OK,h2,28.189897537231445,100
1773178580.6219501,OK,h2,28.106212615966797,100
1773178580.6293113,OK,h2,25.360107421875,100
1773178580.6418345,OK,h2,7.559537887573242,100
1773178580.6451406,OK,h2,20.966768264770508,100
1773178580.6451833,OK,h2,31.125307083129883,100
1773178580.6491456,OK,h2,4.755258560180664,100
1773178580.6737432,OK,h2,19.251108169555664,100
1773178580.6809113,OK,h2,16.31450653076172,100
1773178580.7050416,OK,h2,30.341625213623047,100
1773178580.7097495,OK,h2,24.940967559814453,100
1773178580.719054,OK,h2,24.145841598510742,100
1773178580.7280302,OK,h2,23.015499114990234,100
1773178580.7442033,OK,h2,29.084444046020508,100
1773178580.7494946,OK,h2,24.268388748168945,100
1773178580.7629623,OK,h2,17.518043518066406,100
1773178580.7638361,OK,h2,28.507709503173828,100
1773178580.7807364,OK,h2,25.190353393554688,100
1773178580.7904289,OK,h2,24.771928787231445,100
1773178580.801318,OK,h2,25.560617446899414,100
1773178580.8167734,OK,h2,30.907154083251953,100
1773178580.821234,OK,h2,25.26712417602539,100
1773178580.8236964,OK,h2,17.62104034423828,100
1773178580.8432322,OK,h2,16.941070556640625,100
1773178580.845314,OK,h2,29.140472412109375,100
1773178580.8557236,OK,h2,19.333362579345703,100
1773178580.8576062,OK,h2,11.095046997070312,100
1773178580.8750613,OK,h2,18.449068069458008,100
1773178580.8903317,OK,h2,23.598670959472656,100
1773178580.8922453,OK,h2,5.314350128173828,100
1773178580.9075992,OK,h2,30.773162841796875,100
1773178580.9284499,OK,h2,31.414031982421875,100
1773178580.9361987,OK,h2,29.05893325805664,100
1773178580.9388752,OK,h2,21.631956100463867,100
1773178580.9460595,OK,h2,18.70131492614746,100
1773178580.9666471,OK,h2,29.17647361755371,100
1773178580.9731355,OK,h2,25.557518005371094,100
1773178580.9748695,OK,h2,17.19212532043457,100
1773178580.9937406,OK,h2,25.950908660888672,100
1773178581.0068424,OK,h2,28.95045280456543,100
1773178581.0118914,OK,h2,23.893356323242188,100
1773178581.0252657,OK,h2,27.163982391357422,100
1773178581.0292716,OK,h2,21.054744720458984,100
1773178581.0437567,OK,h2,25.43807029724121,100
1773178581.0588639,OK,h2,30.43675422668457,100
1773178581.063628,OK,h2,25.099992752075195,100
1773178581.071887,OK,h2,23.251056671142578,100
1773178581.0862482,OK,h2,27.51326560974121,100
1773178581.0998538,OK,h2,31.008481979370117,100
1773178581.1084442,OK,h2,29.497861862182617,100
1773178581.1093311,OK,h2,20.274877548217773,100
1773178581.1290805,OK,h2,29.926776885986328,100
