timestamp,host,cpu_util,throughput_rps,power_watts,efficiency_score
1773180732.6357617,h3,0.00,0.00,4.53,0.2209
1773180733.1370358,h3,0.06,0.00,4.53,0.2209
1773180733.6380844,h3,0.00,0.00,4.53,0.2209
1773180734.1392577,h3,0.06,0.00,4.53,0.2209
1773180734.6403193,h3,0.00,0.00,4.53,0.2209
1773180735.1413913,h3,0.00,0.00,4.53,0.2209
1773180735.642556,h3,0.00,0.00,4.53,0.2209
1773180736.1435971,h3,0.00,0.00,4.53,0.2209
1773180736.6447408,h3,0.00,0.00,4.53,0.2209
1773180737.145797,h3,0.00,0.00,4.53,0.2209
1773180737.6468835,h3,0.06,0.00,4.53,0.2209
1773180738.1479514,h3,0.00,0.00,4.53,0.2209
1773180738.6489835,h3,0.75,0.00,5.23,0.1912
1773180739.150042,h3,3.18,0.00,5.23,0.1912
1773180739.651098,h3,3.12,0.00,5.93,0.1685
1773180740.1521833,h3,3.18,0.00,5.93,0.1685
1773180740.6532204,h3,3.06,0.00,5.23,0.1912
1773180741.1542754,h3,3.18,0.00,5.23,0.1912
1773180741.6552927,h3,3.19,0.00,5.23,0.1912
1773180742.156336,h3,3.18,0.00,5.23,0.1912
1773180742.6574264,h3,3.12,0.00,5.23,0.1912
1773180743.158481,h3,3.18,0.00,5.23,0.1914
1773180743.6595318,h3,3.12,0.00,5.23,0.1912
1773180744.1605856,h3,3.18,0.00,5.23,0.1912
1773180744.6616096,h3,3.06,0.00,5.23,0.1912
1773180745.1626756,h3,3.24,0.00,5.23,0.1912
1773180745.6637218,h3,3.12,0.00,5.23,0.1912
1773180746.164779,h3,3.12,0.00,5.23,0.1912
1773180746.6658359,h3,3.18,0.00,5.93,0.1685
1773180747.1668959,h3,3.18,0.00,5.93,0.1685
1773180747.667955,h3,3.24,0.00,5.23,0.1912
1773180748.1690366,h3,3.12,0.00,5.23,0.1912
1773180748.670088,h3,3.12,0.00,5.23,0.1912
1773180749.1711369,h3,3.12,0.00,5.93,0.1685
1773180749.672185,h3,3.24,0.00,5.93,0.1685
1773180750.17324,h3,3.12,0.00,5.23,0.1912
1773180750.6742795,h3,3.31,0.00,5.23,0.1912
1773180751.1753254,h3,3.18,0.00,5.23,0.1912
1773180751.6763868,h3,3.12,0.00,5.93,0.1685
1773180752.1774979,h3,3.18,0.00,5.23,0.1912
1773180752.6785476,h3,3.18,0.00,5.23,0.1912
1773180753.179596,h3,3.18,0.00,5.23,0.1912
1773180753.6806479,h3,3.18,0.00,5.23,0.1912
1773180754.181705,h3,3.12,0.00,5.23,0.1912
1773180754.68277,h3,3.12,0.00,5.23,0.1912
1773180755.183823,h3,3.24,0.00,5.23,0.1912
1773180755.6848576,h3,3.37,0.00,5.23,0.1912
1773180756.1859345,h3,3.18,0.00,5.93,0.1685
1773180756.68697,h3,3.12,0.00,5.23,0.1912
1773180757.18803,h3,3.18,0.00,5.23,0.1912
1773180757.6890688,h3,3.12,0.00,5.23,0.1912
1773180758.1901157,h3,3.18,0.00,5.23,0.1912
1773180758.6911926,h3,3.12,0.00,5.23,0.1912
1773180759.192263,h3,3.12,0.00,5.23,0.1912
1773180759.6933208,h3,3.18,0.00,5.23,0.1912
1773180760.1943705,h3,3.18,0.00,5.23,0.1912
1773180760.6954052,h3,3.12,0.00,5.23,0.1912
1773180761.1964595,h3,3.06,0.00,5.23,0.1912
1773180761.6975067,h3,3.18,0.00,5.93,0.1685
1773180762.1986146,h3,3.24,0.00,5.23,0.1912
1773180762.6996915,h3,3.12,0.00,5.23,0.1912
1773180763.2007422,h3,3.18,0.00,5.23,0.1912
1773180763.7018013,h3,3.12,0.00,5.23,0.1912
1773180764.2028673,h3,3.18,0.00,5.23,0.1912
1773180764.7038987,h3,3.06,0.00,5.23,0.1912
1773180765.2049558,h3,3.24,0.00,5.23,0.1912
1773180765.7059958,h3,3.12,0.00,5.23,0.1912
1773180766.2070465,h3,3.12,0.00,5.23,0.1912
1773180766.708096,h3,3.12,0.00,5.93,0.1685
1773180767.2091486,h3,3.18,0.00,5.23,0.1912
1773180767.7102096,h3,3.06,0.00,5.93,0.1685
1773180768.211242,h3,3.18,0.00,5.23,0.1912
1773180768.712285,h3,3.18,0.00,5.23,0.1912
1773180769.213344,h3,3.12,0.00,5.23,0.1912
1773180769.7143989,h3,3.18,0.00,5.23,0.1912
1773180770.215454,h3,3.12,0.00,5.23,0.1912
1773180770.7165034,h3,3.18,0.00,5.23,0.1912
1773180771.217563,h3,3.18,0.00,5.23,0.1912
1773180771.7186458,h3,3.18,0.00,5.23,0.1912
1773180772.2197423,h3,3.18,0.00,5.23,0.1912
1773180772.7207782,h3,3.12,0.00,5.93,0.1685
