timestamp,status,server_id,latency_ms,target_rate
1773180105.1832793,OK,h2,51.43594741821289,100
1773180105.183368,OK,h2,41.464805603027344,100
1773180105.1833801,OK,h2,31.412839889526367,100
1773180105.1860769,OK,h2,24.046897888183594,100
1773180105.1965473,OK,h2,24.45220947265625,100
1773180105.2083468,OK,h2,26.189565658569336,100
1773180105.2184777,OK,h2,26.241064071655273,100
1773180105.2228675,OK,h2,20.565032958984375,100
1773180105.2357469,OK,h2,23.375988006591797,100
1773180105.249894,OK,h2,27.458906173706055,100
1773180105.260038,OK,h2,27.527809143066406,100
1773180105.2666543,OK,h2,24.0786075592041,100
1773180105.275721,OK,h2,23.07868003845215,100
1773180105.2882342,OK,h2,25.519371032714844,100
1773180105.3011339,OK,h2,28.357982635498047,100
1773180105.3054724,OK,h2,22.63021469116211,100
1773180105.3162575,OK,h2,23.351192474365234,100
1773180105.343732,OK,h2,20.61939239501953,100
1773180105.3437908,OK,h2,40.81869125366211,100
1773180105.3450572,OK,h2,32.019615173339844,100
1773180105.3753116,OK,h3,32.06062316894531,100
1773180105.3753626,OK,h3,21.970510482788086,100
1773180105.385436,OK,h3,52.25706100463867,100
1773180105.3920584,OK,h3,28.560876846313477,100
1773180105.396091,OK,h3,22.49431610107422,100
1773180105.410814,OK,h2,27.106285095214844,100
1773180105.4178047,OK,h2,24.02353286743164,100
1773180105.4258037,OK,h2,21.91448211669922,100
1773180105.4388607,OK,h2,24.869441986083984,100
1773180105.4388993,OK,h2,14.799833297729492,100
1773180105.4587219,OK,h2,24.521350860595703,100
1773180105.4591541,OK,h2,14.845609664916992,100
1773180105.482584,OK,h2,28.176307678222656,100
1773180105.4904873,OK,h2,25.970458984375,100
1773180105.5008364,OK,h2,16.111373901367188,100
1773180105.5039423,OK,h2,29.326677322387695,100
1773180105.5115187,OK,h2,16.692399978637695,100
1773180105.51897,OK,h2,14.036417007446289,100
1773180105.539659,OK,h2,24.623394012451172,100
1773180105.5498126,OK,h2,24.669885635375977,100
1773180105.5541012,OK,h2,18.85986328125,100
1773180105.5679693,OK,h2,22.593259811401367,100
1773180105.5861478,OK,h2,30.670881271362305,100
1773180105.5896988,OK,h2,24.116992950439453,100
1773180105.604412,OK,h2,28.726816177368164,100
1773180105.611642,OK,h2,25.850534439086914,100
1773180105.6175554,OK,h2,21.66152000427246,100
1773180105.6307487,OK,h2,24.747610092163086,100
1773180105.6401236,OK,h2,24.019241333007812,100
1773180105.6409328,OK,h2,14.721393585205078,100
1773180105.661292,OK,h2,24.979591369628906,100
1773180105.6708732,OK,h2,24.45220947265625,100
1773180105.6778426,OK,h2,21.32272720336914,100
1773180105.6953218,OK,h2,28.692960739135742,100
1773180105.7003481,OK,h2,23.616790771484375,100
1773180105.7028162,OK,h2,15.978336334228516,100
1773180105.7214088,OK,h2,24.46770668029785,100
1773180105.7280154,OK,h2,10.867834091186523,100
1773180105.72994,OK,h2,22.89128303527832,100
1773180105.7482576,OK,h2,21.001100540161133,100
1773180105.7647166,OK,h2,27.348041534423828,100
1773180105.7702339,OK,h2,12.65716552734375,100
1773180105.7707484,OK,h2,23.27442169189453,100
1773180105.7749217,OK,h2,7.237672805786133,100
1773180105.8037667,OK,h2,25.980710983276367,100
1773180105.8087418,OK,h2,20.84946632385254,100
1773180105.8247452,OK,h2,26.752948760986328,100
1773180105.8323922,OK,h2,24.289369583129883,100
1773180105.8423023,OK,h3,3.888845443725586,100
1773180105.842563,OK,h2,24.359703063964844,100
1773180105.8521488,OK,h3,23.838043212890625,100
1773180105.8702593,OK,h3,21.73638343811035,100
1773180105.8817205,OK,h3,23.093700408935547,100
1773180105.894294,OK,h3,25.558948516845703,100
1773180105.9004145,OK,h3,21.57425880432129,100
1773180105.91567,OK,h2,26.721954345703125,100
1773180105.9254386,OK,h2,26.389360427856445,100
1773180105.9333138,OK,h2,24.157285690307617,100
1773180105.947583,OK,h2,18.21303367614746,100
1773180105.9485707,OK,h2,29.309749603271484,100
1773180105.9490101,OK,h2,9.537696838378906,100
1773180105.9732795,OK,h2,23.700237274169922,100
1773180105.9901228,OK,h2,30.444860458374023,100
1773180105.9990287,OK,h2,29.24323081970215,100
1773180106.0051737,OK,h2,25.285005569458008,100
1773180106.0154378,OK,h2,25.44426918029785,100
1773180106.0179682,OK,h2,7.762670516967773,100
1773180106.023736,OK,h2,23.638486862182617,100
1773180106.025621,OK,h2,5.313634872436523,100
1773180106.0486386,OK,h2,18.222808837890625,100
1773180106.0546134,OK,h2,14.099359512329102,100
1773180106.0799851,OK,h2,29.361963272094727,100
1773180106.086333,OK,h2,25.60734748840332,100
1773180106.0952227,OK,h2,24.39260482788086,100
1773180106.1004503,OK,h2,19.51742172241211,100
1773180106.120793,OK,h2,29.751300811767578,100
1773180106.1325529,OK,h2,31.409502029418945,100
1773180106.1356091,OK,h2,14.247894287109375,100
1773180106.135639,OK,h2,24.39117431640625,100
1773180106.1554582,OK,h2,23.99277687072754,100
1773180106.1683877,OK,h2,26.819467544555664,100
1773180106.177208,OK,h2,25.534629821777344,100
1773180106.185629,OK,h2,23.85258674621582,100
1773180106.198237,OK,h2,16.2503719329834,100
1773180106.1982698,OK,h2,26.384830474853516,100
1773180106.2180119,OK,h2,15.815973281860352,100
1773180106.2186913,OK,h2,26.596784591674805,100
1773180106.2320063,OK,h2,19.706010818481445,100
